timestamp,git_commit,config_name,phase,backbone,seed,dataset_split,epochs,val_loss,val_acc,val_f1,checkpoint_path,status
2026-09-21T23:43:00.519525,bb6fada,base.yaml,1,efficientnet_b0,42,data/splits.csv,10,1.0393,0.7793,0.7627,C:\Gaurav's Den\crazy-shits\smart-classification\checkpoints\phase1\phase1-efficientnet_b0-epoch=09-val_f1=0.763.ckpt,COMPLETED
2026-09-23T00:06:08.256716,c182730,base.yaml,2,efficientnet_b0,42,data/splits.csv,15,0.9891,0.8032,0.7781,C:\Gaurav's Den\crazy-shits\smart-classification\checkpoints\phase2\phase2-efficientnet_b0-epoch=11-val_f1=0.781.ckpt,COMPLETED
